visit_id,user_id,dow,interaction,purchase
v000001,u024388,Saturday,0,0
v000002,u043307,Tuesday,0,0
v000003,u004050,Wednesday,0,0
v000004,u011571,Friday,0,0
v000005,u025173,Saturday,1,0
v000006,u032618,Friday,1,75
v000007,u013903,Friday,0,0
v000008,u008229,Thursday,1,0
v000009,u025305,Wednesday,0,0
v000010,u025061,Sunday,0,0
v000011,u022306,Saturday,0,0
v000012,u039294,Sunday,0,0
v000013,u012204,Thursday,0,0
v000014,u043809,Tuesday,0,0
v000015,u007075,Monday,0,0
v000016,u026954,Wednesday,1,0
v000017,u042406,Thursday,1,35
v000018,u036244,Friday,0,0
v000019,u031276,Tuesday,0,0
v000020,u045399,Monday,0,0
v000021,u016044,Friday,0,0
v000022,u006519,Saturday,0,0
v000023,u033990,Thursday,1,35
v000024,u026663,Sunday,0,0
v000025,u019242,Saturday,0,0
v000026,u021784,Tuesday,0,0
v000027,u016910,Sunday,0,0
v000028,u021875,Tuesday,0,0
v000029,u025559,Monday,1,0
v000030,u046696,Saturday,0,0
v000031,u021323,Tuesday,0,0
v000032,u013284,Wednesday,0,0
v000033,u007976,Tuesday,1,0
v000034,u009392,Sunday,1,35
v000035,u003863,Monday,0,0
v000036,u026876,Thursday,0,0
v000037,u039645,Monday,1,35
v000038,u023148,Sunday,0,0
v000039,u013973,Thursday,0,0
v000040,u031334,Tuesday,0,0
v000041,u039241,Monday,1,35
v000042,u047959,Thursday,0,0
v000043,u028278,Monday,0,0
v000044,u000858,Wednesday,0,0
v000045,u006763,Wednesday,1,35
v000046,u041950,Monday,1,35
v000047,u032480,Sunday,1,35
v000048,u011367,Tuesday,0,0
v000049,u029747,Thursday,0,0
v000050,u013602,Thursday,1,75
v000051,u039041,Tuesday,0,0
v000052,u005051,Monday,0,0
v000053,u042127,Tuesday,0,0
v000054,u039197,Saturday,1,75
v000055,u034474,Sunday,0,0
v000056,u033269,Sunday,1,0
v000057,u039423,Saturday,1,35
v000058,u016920,Wednesday,1,75
v000059,u029660,Thursday,0,0
v000060,u048936,Tuesday,0,0
v000061,u036515,Friday,0,0
v000062,u029697,Saturday,1,0
v000063,u011854,Tuesday,0,0
v000064,u004934,Saturday,0,0
v000065,u013940,Thursday,1,0
v000066,u027075,Saturday,0,0
v000067,u021987,Tuesday,0,0
v000068,u022126,Monday,0,0
v000069,u025649,Sunday,0,0
v000070,u048568,Monday,0,0
v000071,u012535,Saturday,0,0
v000072,u032987,Monday,0,0
v000073,u012399,Saturday,0,0
v000074,u047481,Saturday,0,0
v000075,u035891,Tuesday,0,0
v000076,u025488,Friday,0,0
v000077,u038704,Monday,0,0
v000078,u014330,Tuesday,1,0
v000079,u017626,Monday,0,0
v000080,u033986,Friday,0,0
v000081,u008465,Tuesday,0,0
v000082,u047051,Thursday,0,0
v000083,u006563,Tuesday,0,0
v000084,u020205,Saturday,0,0
v000085,u022281,Thursday,0,0
v000086,u010844,Saturday,1,0
v000087,u033432,Thursday,1,0
v000088,u033487,Sunday,0,0
v000089,u003045,Saturday,0,0
v000090,u008615,Sunday,0,0
v000091,u041381,Saturday,1,0
v000092,u045196,Sunday,0,0
v000093,u036366,Thursday,0,0
v000094,u029670,Monday,0,0
v000095,u037904,Monday,0,0
v000096,u009346,Monday,0,0
v000097,u013824,Tuesday,0,0
v000098,u008696,Tuesday,0,0
v000099,u039557,Monday,0,0
v000100,u007131,Wednesday,0,0
v000101,u032671,Thursday,0,0
v000102,u020785,Saturday,0,0
v000103,u010816,Saturday,1,75
v000104,u049461,Friday,1,35
v000105,u011114,Wednesday,0,0
v000106,u007146,Saturday,0,0
v000107,u011096,Sunday,1,150
v000108,u012597,Tuesday,0,0
v000109,u011878,Friday,0,0
v000110,u034558,Wednesday,0,0
v000111,u024450,Friday,0,0
v000112,u009086,Thursday,0,0
v000113,u010148,Tuesday,0,0
v000114,u014504,Tuesday,0,0
v000115,u008613,Sunday,1,35
v000116,u021432,Sunday,1,75
v000117,u044660,Thursday,1,0
v000118,u007793,Sunday,0,0
v000119,u006217,Tuesday,1,0
v000120,u030249,Thursday,0,0
v000121,u026244,Friday,0,0
v000122,u012669,Wednesday,0,0
v000123,u047181,Tuesday,1,0
v000124,u032441,Sunday,1,35
v000125,u023193,Thursday,0,0
v000126,u040942,Tuesday,0,0
v000127,u020480,Wednesday,0,0
v000128,u049949,Saturday,0,0
v000129,u019242,Saturday,0,0
v000130,u023836,Wednesday,0,0
v000131,u010271,Wednesday,0,0
v000132,u011564,Sunday,1,0
v000133,u025186,Sunday,0,0
v000134,u017649,Thursday,1,0
v000135,u011260,Friday,0,0
v000136,u047541,Wednesday,0,0
v000137,u004182,Wednesday,0,0
v000138,u027416,Wednesday,1,75
v000139,u018540,Friday,0,0
v000140,u005390,Wednesday,0,0
v000141,u030929,Thursday,0,0
v000142,u021842,Wednesday,0,0
v000143,u018144,Saturday,0,0
v000144,u046058,Saturday,0,0
v000145,u030407,Thursday,0,0
v000146,u036843,Tuesday,0,0
v000147,u015104,Sunday,0,0
v000148,u027540,Thursday,0,0
v000149,u032331,Sunday,0,0
v000150,u036980,Monday,0,0
v000151,u015782,Wednesday,0,0
v000152,u009413,Wednesday,0,0
v000153,u033230,Saturday,1,0
v000154,u022827,Tuesday,0,0
v000155,u020433,Wednesday,0,0
v000156,u009690,Sunday,0,0
v000157,u012129,Wednesday,1,35
v000158,u047428,Sunday,0,0
v000159,u023423,Saturday,0,0
v000160,u031184,Saturday,0,0
v000161,u020189,Saturday,1,0
v000162,u033734,Friday,1,0
v000163,u009383,Tuesday,0,0
v000164,u026593,Monday,0,0
v000165,u004749,Monday,0,0
v000166,u035250,Tuesday,0,0
v000167,u003418,Sunday,0,0
v000168,u019268,Saturday,1,75
v000169,u039961,Thursday,0,0
v000170,u027729,Saturday,0,0
v000171,u004590,Wednesday,1,0
v000172,u029001,Monday,0,0
v000173,u011158,Monday,0,0
v000174,u043112,Tuesday,1,35
v000175,u004257,Tuesday,0,0
v000176,u031156,Friday,1,35
v000177,u028932,Thursday,0,0
v000178,u010688,Thursday,0,0
v000179,u045237,Wednesday,0,0
v000180,u026028,Friday,0,0
v000181,u015737,Saturday,1,0
v000182,u028573,Sunday,0,0
v000183,u045347,Monday,1,0
v000184,u010185,Wednesday,1,0
v000185,u032916,Monday,0,0
v000186,u000121,Sunday,1,0
v000187,u008790,Thursday,0,0
v000188,u010770,Thursday,0,0
v000189,u030119,Friday,0,0
v000190,u033883,Wednesday,0,0
v000191,u003616,Thursday,0,0
v000192,u045107,Tuesday,0,0
v000193,u043473,Sunday,1,75
v000194,u034905,Friday,0,0
v000195,u030613,Saturday,0,0
v000196,u047695,Wednesday,0,0
v000197,u012284,Sunday,0,0
v000198,u035520,Monday,0,0
v000199,u041806,Saturday,0,0
v000200,u046464,Monday,0,0
v000201,u008411,Saturday,1,0
v000202,u049722,Saturday,0,0
v000203,u001926,Wednesday,0,0
v000204,u018197,Saturday,1,0
v000205,u002833,Sunday,0,0
