visit_id,user_id,dow,interaction,purchase
v000001,u013620,Saturday,0,0
v000002,u042722,Sunday,0,0
v000003,u047116,Saturday,0,0
v000004,u042238,Saturday,0,0
v000005,u005853,Tuesday,0,0
v000006,u035715,Sunday,0,0
v000007,u017332,Tuesday,0,0
v000008,u034152,Tuesday,0,0
v000009,u026734,Thursday,0,0
v000010,u014089,Friday,0,0
v000011,u040104,Sunday,0,0
v000012,u040839,Sunday,0,0
v000013,u011989,Monday,0,0
v000014,u022479,Saturday,0,0
v000015,u048742,Tuesday,0,0
v000016,u018922,Wednesday,0,0
v000017,u017274,Tuesday,0,0
v000018,u011568,Friday,0,0
v000019,u006846,Tuesday,0,0
v000020,u004400,Tuesday,1,0
v000021,u022624,Friday,1,0
v000022,u018405,Sunday,0,0
v000023,u023306,Saturday,1,35
v000024,u042504,Sunday,0,0
v000025,u003443,Wednesday,0,0
v000026,u008647,Friday,0,0
v000027,u020592,Tuesday,1,0
v000028,u032545,Tuesday,0,0
v000029,u044039,Friday,1,0
v000030,u040242,Monday,0,0
v000031,u044431,Saturday,0,0
v000032,u018274,Friday,0,0
v000033,u019636,Tuesday,0,0
v000034,u016745,Friday,1,150
v000035,u046873,Sunday,0,0
v000036,u038352,Monday,0,0
v000037,u014313,Monday,1,0
v000038,u030772,Friday,1,0
v000039,u024556,Saturday,0,0
v000040,u009029,Thursday,0,0
v000041,u027820,Friday,0,0
v000042,u049260,Thursday,0,0
v000043,u042738,Wednesday,0,0
v000044,u023030,Sunday,0,0
v000045,u036345,Tuesday,0,0
v000046,u022113,Saturday,0,0
v000047,u021043,Monday,0,0
v000048,u002033,Thursday,0,0
v000049,u007996,Saturday,0,0
v000050,u042740,Friday,1,75
v000051,u035788,Friday,0,0
v000052,u006971,Wednesday,1,0
v000053,u002970,Wednesday,0,0
v000054,u019174,Friday,0,0
v000055,u044811,Saturday,0,0
v000056,u029344,Friday,0,0
v000057,u031546,Thursday,0,0
v000058,u003341,Thursday,0,0
v000059,u018827,Thursday,0,0
v000060,u043290,Sunday,0,0
v000061,u048249,Sunday,0,0
v000062,u023709,Saturday,0,0
v000063,u007319,Tuesday,0,0
v000064,u040493,Sunday,0,0
v000065,u006343,Monday,1,0
v000066,u025861,Saturday,1,35
v000067,u020466,Wednesday,0,0
v000068,u026038,Saturday,0,0
v000069,u006164,Wednesday,0,0
v000070,u043312,Monday,0,0
v000071,u049998,Sunday,0,0
v000072,u027733,Sunday,0,0
v000073,u048479,Thursday,0,0
v000074,u023330,Monday,0,0
v000075,u043387,Saturday,0,0
v000076,u024264,Sunday,0,0
v000077,u004414,Thursday,0,0
v000078,u022187,Friday,1,150
v000079,u008244,Wednesday,0,0
v000080,u000301,Tuesday,0,0
v000081,u032347,Saturday,1,75
v000082,u013881,Tuesday,0,0
v000083,u036593,Sunday,0,0
v000084,u011704,Wednesday,0,0
v000085,u037564,Saturday,0,0
v000086,u017263,Tuesday,0,0
v000087,u014636,Thursday,1,75
v000088,u040862,Sunday,0,0
v000089,u019125,Friday,0,0
v000090,u016581,Friday,0,0
v000091,u048096,Tuesday,0,0
v000092,u001164,Saturday,0,0
v000093,u010401,Sunday,0,0
v000094,u034432,Friday,0,0
v000095,u045094,Sunday,0,0
v000096,u035732,Thursday,1,35
v000097,u033644,Sunday,0,0
v000098,u038465,Wednesday,0,0
v000099,u042808,Saturday,0,0
v000100,u040361,Saturday,0,0
v000101,u032508,Friday,0,0
v000102,u023497,Thursday,0,0
v000103,u038474,Saturday,0,0
v000104,u039817,Saturday,0,0
v000105,u004117,Saturday,1,35
v000106,u034582,Thursday,1,0
v000107,u017268,Wednesday,1,0
v000108,u041824,Tuesday,0,0
v000109,u003890,Tuesday,0,0
v000110,u010552,Saturday,0,0
v000111,u026689,Sunday,1,35
v000112,u045673,Saturday,1,0
v000113,u001711,Wednesday,0,0
v000114,u024603,Wednesday,0,0
v000115,u044849,Thursday,0,0
v000116,u009916,Tuesday,1,35
v000117,u047609,Friday,0,0
v000118,u008667,Sunday,1,0
v000119,u049403,Monday,0,0
v000120,u031586,Sunday,0,0
v000121,u033046,Wednesday,0,0
v000122,u026498,Monday,0,0
v000123,u011986,Sunday,0,0
v000124,u003109,Friday,0,0
v000125,u037036,Thursday,0,0
v000126,u007248,Wednesday,0,0
v000127,u024315,Thursday,0,0
v000128,u023525,Saturday,0,0
v000129,u027441,Saturday,1,0
v000130,u018038,Sunday,1,0
v000131,u013890,Saturday,1,35
v000132,u018982,Thursday,0,0
v000133,u044506,Tuesday,1,0
v000134,u001874,Thursday,0,0
v000135,u018079,Friday,0,0
v000136,u035780,Monday,0,0
v000137,u017612,Thursday,0,0
v000138,u029828,Sunday,1,0
v000139,u029420,Friday,0,0
v000140,u015020,Saturday,0,0
v000141,u038862,Wednesday,0,0
v000142,u016313,Sunday,0,0
v000143,u007471,Sunday,0,0
v000144,u021667,Saturday,1,0
v000145,u019733,Saturday,0,0
v000146,u014237,Tuesday,1,0
v000147,u039435,Saturday,0,0
v000148,u010447,Friday,0,0
v000149,u004885,Wednesday,0,0
v000150,u037112,Friday,1,35
v000151,u016692,Tuesday,1,0
v000152,u009165,Friday,0,0
v000153,u025277,Friday,0,0
v000154,u011763,Friday,0,0
v000155,u006528,Monday,0,0
v000156,u040142,Friday,0,0
v000157,u029238,Sunday,0,0
v000158,u030298,Tuesday,0,0
v000159,u015160,Tuesday,1,35
v000160,u042560,Saturday,0,0
v000161,u035496,Wednesday,0,0
v000162,u017090,Friday,0,0
v000163,u030596,Sunday,0,0
v000164,u025221,Friday,0,0
v000165,u037097,Wednesday,1,0
v000166,u022338,Friday,0,0
v000167,u006386,Friday,1,75
v000168,u047426,Thursday,1,35
v000169,u045984,Sunday,0,0
v000170,u026670,Saturday,0,0
v000171,u021349,Wednesday,0,0
v000172,u021228,Saturday,1,0
v000173,u049725,Monday,0,0
v000174,u001311,Tuesday,0,0
v000175,u004319,Saturday,1,0
v000176,u012866,Sunday,0,0
v000177,u027848,Sunday,0,0
v000178,u026936,Friday,0,0
v000179,u028703,Monday,0,0
v000180,u042569,Saturday,0,0
v000181,u022492,Tuesday,0,0
v000182,u004936,Wednesday,0,0
v000183,u036527,Saturday,0,0
v000184,u022351,Tuesday,0,0
v000185,u000621,Sunday,0,0
v000186,u029709,Friday,0,0
v000187,u011299,Monday,1,0
v000188,u029593,Tuesday,0,0
v000189,u024604,Saturday,0,0
v000190,u025191,Sunday,0,0
v000191,u012604,Tuesday,0,0
v000192,u020602,Saturday,0,0
